stream_id,streamer_name,stream_start_time,viewer_id,viewer_email,viewer_state,device_type,event_time,event_type,product_id,product_name,chat_message
STRM1,Alice,2025-07-19 09:00:00,CUST083,taylor.brown83@example.com,WA,tablet,2025-07-19 09:00:23,checkout_started,P014,Eco Notebook,
STRM1,Alice,2025-07-19 09:00:00,CUST019,taylor.clark19@example.com,FL,tablet,2025-07-19 09:00:28,add_to_cart,P027,Eco Mouse Pad,
STRM1,Alice,2025-07-19 09:00:00,CUST087,morgan.young87@example.com,WA,desktop,2025-07-19 09:00:29,add_to_cart,P003,Deluxe Hoodie,
STRM1,Alice,2025-07-19 09:00:00,CUST045,drew.smith45@example.com,NC,desktop,2025-07-19 09:00:34,order_completed,P003,Deluxe Hoodie,
STRM1,Alice,2025-07-19 09:00:00,CUST036,taylor.clark36@example.com,WA,tablet,2025-07-19 09:00:46,add_to_cart,P038,Smart Blue Light Glasses,
STRM1,Alice,2025-07-19 09:00:00,CUST012,jordan.hall12@example.com,GA,desktop,2025-07-19 09:00:47,add_to_cart,P021,Pro Hair Dryer,
STRM1,Alice,2025-07-19 09:00:00,CUST083,taylor.brown83@example.com,WA,mobile,2025-07-19 09:00:48,stream_exit,,,
STRM1,Alice,2025-07-19 09:00:00,CUST091,avery.clark91@example.com,NC,tablet,2025-07-19 09:00:49,chat_message,,,Love this!
STRM1,Alice,2025-07-19 09:00:00,CUST006,drew.brown6@example.com,CA,desktop,2025-07-19 09:00:52,order_completed,P042,Eco Charging Cable,
STRM1,Alice,2025-07-19 09:00:00,CUST073,avery.hall73@example.com,NC,mobile,2025-07-19 09:01:26,product_view,P026,Eco Keyboard,
STRM1,Alice,2025-07-19 09:00:00,CUST049,avery.allen49@example.com,TX,desktop,2025-07-19 09:01:28,checkout_started,P042,Eco Charging Cable,
STRM1,Alice,2025-07-19 09:00:00,CUST085,taylor.lopez85@example.com,AZ,desktop,2025-07-19 09:01:37,add_to_cart,P045,Eco Tumbler,
STRM1,Alice,2025-07-19 09:00:00,CUST079,jamie.allen79@example.com,NC,mobile,2025-07-19 09:01:44,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST060,drew.clark60@example.com,GA,desktop,2025-07-19 09:01:54,stream_exit,,,
STRM1,Alice,2025-07-19 09:00:00,CUST023,casey.davis23@example.com,IL,mobile,2025-07-19 09:02:02,add_to_cart,P019,Deluxe Makeup Kit,
STRM1,Alice,2025-07-19 09:00:00,CUST008,skylar.lee8@example.com,NY,tablet,2025-07-19 09:02:05,checkout_started,P031,Classic LED Strip,
STRM1,Alice,2025-07-19 09:00:00,CUST069,avery.davis69@example.com,MI,tablet,2025-07-19 09:02:07,order_completed,P008,Classic Sneakers,
STRM1,Alice,2025-07-19 09:00:00,CUST028,drew.lee28@example.com,NC,tablet,2025-07-19 09:02:12,product_view,P023,Deluxe Travel Pillow,
STRM1,Alice,2025-07-19 09:00:00,CUST082,casey.lopez82@example.com,IL,mobile,2025-07-19 09:02:16,product_view,P002,Smart Earbuds,
STRM1,Alice,2025-07-19 09:00:00,CUST023,casey.davis23@example.com,IL,desktop,2025-07-19 09:02:16,add_to_cart,P006,Smart Face Cream,
STRM1,Alice,2025-07-19 09:00:00,CUST003,alex.smith3@example.com,MI,tablet,2025-07-19 09:02:19,checkout_started,P043,Smart Face Roller,
STRM1,Alice,2025-07-19 09:00:00,CUST029,jordan.smith29@example.com,WA,desktop,2025-07-19 09:02:40,product_view,P050,Deluxe Cap,
STRM1,Alice,2025-07-19 09:00:00,CUST081,casey.hall81@example.com,AZ,desktop,2025-07-19 09:03:27,checkout_started,P030,Deluxe Diffuser,
STRM1,Alice,2025-07-19 09:00:00,CUST004,morgan.clark4@example.com,AZ,tablet,2025-07-19 09:03:28,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST054,jordan.clark54@example.com,FL,tablet,2025-07-19 09:03:31,stream_exit,,,
STRM1,Alice,2025-07-19 09:00:00,CUST025,morgan.young25@example.com,NY,tablet,2025-07-19 09:03:32,chat_message,,,❤️
STRM1,Alice,2025-07-19 09:00:00,CUST032,taylor.young32@example.com,NY,tablet,2025-07-19 09:03:50,chat_message,,,What's the price?
STRM1,Alice,2025-07-19 09:00:00,CUST055,taylor.lopez55@example.com,IL,mobile,2025-07-19 09:03:54,product_view,P026,Eco Keyboard,
STRM1,Alice,2025-07-19 09:00:00,CUST028,drew.lee28@example.com,NC,tablet,2025-07-19 09:04:00,chat_message,,,What's the price?
STRM1,Alice,2025-07-19 09:00:00,CUST070,alex.hall70@example.com,GA,mobile,2025-07-19 09:04:01,stream_exit,,,
STRM1,Alice,2025-07-19 09:00:00,CUST063,casey.davis63@example.com,MI,desktop,2025-07-19 09:04:03,add_to_cart,P034,Classic Running Shorts,
STRM1,Alice,2025-07-19 09:00:00,CUST088,jordan.brown88@example.com,NY,tablet,2025-07-19 09:04:05,add_to_cart,P032,Smart Hand Sanitizer,
STRM1,Alice,2025-07-19 09:00:00,CUST039,casey.clark39@example.com,AZ,desktop,2025-07-19 09:04:14,checkout_started,P045,Eco Tumbler,
STRM1,Alice,2025-07-19 09:00:00,CUST056,avery.allen56@example.com,NY,desktop,2025-07-19 09:04:25,chat_message,,,Ordered!
STRM1,Alice,2025-07-19 09:00:00,CUST077,morgan.davis77@example.com,MI,mobile,2025-07-19 09:04:37,add_to_cart,P041,Classic Tote Bag,
STRM1,Alice,2025-07-19 09:00:00,CUST078,jamie.brown78@example.com,TX,tablet,2025-07-19 09:04:50,stream_exit,,,
STRM1,Alice,2025-07-19 09:00:00,CUST019,taylor.clark19@example.com,FL,tablet,2025-07-19 09:05:01,add_to_cart,P015,Classic Wireless Charger,
STRM1,Alice,2025-07-19 09:00:00,CUST060,drew.clark60@example.com,GA,desktop,2025-07-19 09:05:12,checkout_started,P005,Deluxe Ring Light,
STRM1,Alice,2025-07-19 09:00:00,CUST082,casey.lopez82@example.com,IL,tablet,2025-07-19 09:05:34,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST023,casey.davis23@example.com,IL,desktop,2025-07-19 09:05:34,product_view,P024,Classic Facial Mask,
STRM1,Alice,2025-07-19 09:00:00,CUST056,avery.allen56@example.com,NY,desktop,2025-07-19 09:05:36,checkout_started,P021,Pro Hair Dryer,
STRM1,Alice,2025-07-19 09:00:00,CUST047,skylar.clark47@example.com,TX,mobile,2025-07-19 09:05:44,product_view,P010,Smart Sunglasses,
STRM1,Alice,2025-07-19 09:00:00,CUST016,reese.smith16@example.com,IL,mobile,2025-07-19 09:05:45,product_view,P021,Pro Hair Dryer,
STRM1,Alice,2025-07-19 09:00:00,CUST082,casey.lopez82@example.com,IL,mobile,2025-07-19 09:06:01,product_view,P045,Eco Tumbler,
STRM1,Alice,2025-07-19 09:00:00,CUST075,taylor.johnson75@example.com,WA,mobile,2025-07-19 09:06:10,chat_message,,,Ordered!
STRM1,Alice,2025-07-19 09:00:00,CUST022,skylar.johnson22@example.com,WA,tablet,2025-07-19 09:06:18,order_completed,P006,Smart Face Cream,
STRM1,Alice,2025-07-19 09:00:00,CUST076,jamie.hall76@example.com,NC,mobile,2025-07-19 09:06:19,add_to_cart,P021,Pro Hair Dryer,
STRM1,Alice,2025-07-19 09:00:00,CUST010,reese.davis10@example.com,AZ,mobile,2025-07-19 09:06:20,product_view,P030,Deluxe Diffuser,
STRM1,Alice,2025-07-19 09:00:00,CUST028,drew.lee28@example.com,NC,mobile,2025-07-19 09:06:29,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST010,reese.davis10@example.com,AZ,mobile,2025-07-19 09:06:42,product_view,P041,Classic Tote Bag,
STRM1,Alice,2025-07-19 09:00:00,CUST042,jamie.brown42@example.com,MI,desktop,2025-07-19 09:06:59,checkout_started,P023,Deluxe Travel Pillow,
STRM1,Alice,2025-07-19 09:00:00,CUST093,casey.allen93@example.com,TX,desktop,2025-07-19 09:06:59,product_view,P044,Classic Card Holder,
STRM1,Alice,2025-07-19 09:00:00,CUST014,avery.allen14@example.com,IL,mobile,2025-07-19 09:07:04,add_to_cart,P002,Smart Earbuds,
STRM1,Alice,2025-07-19 09:00:00,CUST050,skylar.hall50@example.com,WA,desktop,2025-07-19 09:07:07,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST028,drew.lee28@example.com,NC,mobile,2025-07-19 09:07:08,product_view,P041,Classic Tote Bag,
STRM1,Alice,2025-07-19 09:00:00,CUST021,reese.lopez21@example.com,GA,tablet,2025-07-19 09:07:12,add_to_cart,P017,Classic Phone Case,
STRM1,Alice,2025-07-19 09:00:00,CUST091,avery.clark91@example.com,NC,tablet,2025-07-19 09:07:15,chat_message,,,Need this
STRM1,Alice,2025-07-19 09:00:00,CUST055,taylor.lopez55@example.com,IL,desktop,2025-07-19 09:07:36,order_completed,P028,Pro Table Mirror,
STRM1,Alice,2025-07-19 09:00:00,CUST063,casey.davis63@example.com,MI,tablet,2025-07-19 09:07:38,order_completed,P022,Eco Tripod,
STRM1,Alice,2025-07-19 09:00:00,CUST098,jamie.hall98@example.com,CA,tablet,2025-07-19 09:07:50,add_to_cart,P035,Pro Wireless Mouse,
STRM1,Alice,2025-07-19 09:00:00,CUST011,morgan.davis11@example.com,MI,tablet,2025-07-19 09:08:01,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST075,taylor.johnson75@example.com,WA,desktop,2025-07-19 09:08:21,product_view,P041,Classic Tote Bag,
STRM1,Alice,2025-07-19 09:00:00,CUST049,avery.allen49@example.com,TX,mobile,2025-07-19 09:08:25,order_completed,P046,Eco Fleece Blanket,
STRM1,Alice,2025-07-19 09:00:00,CUST042,jamie.brown42@example.com,MI,tablet,2025-07-19 09:08:27,add_to_cart,P003,Deluxe Hoodie,
STRM1,Alice,2025-07-19 09:00:00,CUST061,casey.young61@example.com,CA,desktop,2025-07-19 09:08:44,product_view,P047,Classic Shower Speaker,
STRM1,Alice,2025-07-19 09:00:00,CUST033,reese.clark33@example.com,GA,tablet,2025-07-19 09:08:46,add_to_cart,P010,Smart Sunglasses,
STRM1,Alice,2025-07-19 09:00:00,CUST060,drew.clark60@example.com,GA,desktop,2025-07-19 09:08:47,product_view,P031,Classic LED Strip,
STRM1,Alice,2025-07-19 09:00:00,CUST055,taylor.lopez55@example.com,IL,tablet,2025-07-19 09:08:51,product_view,P033,Classic Graphic Tee,
STRM1,Alice,2025-07-19 09:00:00,CUST007,taylor.clark7@example.com,MI,desktop,2025-07-19 09:08:52,add_to_cart,P020,Pro Water Bottle,
STRM1,Alice,2025-07-19 09:00:00,CUST006,drew.brown6@example.com,CA,desktop,2025-07-19 09:09:07,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST071,morgan.davis71@example.com,TX,mobile,2025-07-19 09:09:09,chat_message,,,Too expensive
STRM1,Alice,2025-07-19 09:00:00,CUST073,avery.hall73@example.com,NC,desktop,2025-07-19 09:09:16,checkout_started,P022,Eco Tripod,
STRM1,Alice,2025-07-19 09:00:00,CUST038,alex.hall38@example.com,NC,tablet,2025-07-19 09:09:23,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST059,jamie.hall59@example.com,NC,desktop,2025-07-19 09:09:49,checkout_started,P046,Eco Fleece Blanket,
STRM1,Alice,2025-07-19 09:00:00,CUST008,skylar.lee8@example.com,NY,mobile,2025-07-19 09:09:57,order_completed,P007,Pro Bluetooth Speaker,
STRM1,Alice,2025-07-19 09:00:00,CUST071,morgan.davis71@example.com,TX,tablet,2025-07-19 09:10:06,product_view,P028,Pro Table Mirror,
STRM1,Alice,2025-07-19 09:00:00,CUST090,casey.allen90@example.com,CA,tablet,2025-07-19 09:10:08,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST078,jamie.brown78@example.com,TX,tablet,2025-07-19 09:10:11,chat_message,,,😍
STRM1,Alice,2025-07-19 09:00:00,CUST007,taylor.clark7@example.com,MI,desktop,2025-07-19 09:10:22,product_view,P014,Eco Notebook,
STRM1,Alice,2025-07-19 09:00:00,CUST043,casey.lopez43@example.com,NC,tablet,2025-07-19 09:10:27,checkout_started,P032,Smart Hand Sanitizer,
STRM1,Alice,2025-07-19 09:00:00,CUST049,avery.allen49@example.com,TX,tablet,2025-07-19 09:10:39,product_view,P007,Pro Bluetooth Speaker,
STRM1,Alice,2025-07-19 09:00:00,CUST050,skylar.hall50@example.com,WA,desktop,2025-07-19 09:10:39,checkout_started,P045,Eco Tumbler,
STRM1,Alice,2025-07-19 09:00:00,CUST083,taylor.brown83@example.com,WA,desktop,2025-07-19 09:10:40,add_to_cart,P020,Pro Water Bottle,
STRM1,Alice,2025-07-19 09:00:00,CUST030,morgan.lopez30@example.com,IL,desktop,2025-07-19 09:10:54,chat_message,,,❤️
STRM1,Alice,2025-07-19 09:00:00,CUST028,drew.lee28@example.com,NC,desktop,2025-07-19 09:11:03,chat_message,,,😍
STRM1,Alice,2025-07-19 09:00:00,CUST090,casey.allen90@example.com,CA,tablet,2025-07-19 09:11:10,checkout_started,P017,Classic Phone Case,
STRM1,Alice,2025-07-19 09:00:00,CUST050,skylar.hall50@example.com,WA,desktop,2025-07-19 09:11:14,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST083,taylor.brown83@example.com,WA,mobile,2025-07-19 09:11:40,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST073,avery.hall73@example.com,NC,desktop,2025-07-19 09:11:46,chat_message,,,Love this!
STRM1,Alice,2025-07-19 09:00:00,CUST029,jordan.smith29@example.com,WA,tablet,2025-07-19 09:11:53,stream_exit,,,
STRM1,Alice,2025-07-19 09:00:00,CUST008,skylar.lee8@example.com,NY,desktop,2025-07-19 09:11:54,add_to_cart,P030,Deluxe Diffuser,
STRM1,Alice,2025-07-19 09:00:00,CUST034,skylar.lee34@example.com,AZ,desktop,2025-07-19 09:12:07,checkout_started,P050,Deluxe Cap,
STRM1,Alice,2025-07-19 09:00:00,CUST070,alex.hall70@example.com,GA,desktop,2025-07-19 09:12:19,add_to_cart,P037,Pro Monitor Riser,
STRM1,Alice,2025-07-19 09:00:00,CUST063,casey.davis63@example.com,MI,desktop,2025-07-19 09:12:23,stream_view_start,,,
STRM1,Alice,2025-07-19 09:00:00,CUST078,jamie.brown78@example.com,TX,desktop,2025-07-19 09:12:25,add_to_cart,P006,Smart Face Cream,
STRM1,Alice,2025-07-19 09:00:00,CUST022,skylar.johnson22@example.com,WA,desktop,2025-07-19 09:12:39,product_view,P021,Pro Hair Dryer,
STRM1,Alice,2025-07-19 09:00:00,CUST086,casey.clark86@example.com,NC,mobile,2025-07-19 09:12:40,stream_exit,,,
STRM1,Alice,2025-07-19 09:00:00,CUST072,casey.brown72@example.com,WA,mobile,2025-07-19 09:12:42,stream_exit,,,
STRM1,Alice,2025-07-19 09:00:00,CUST086,casey.clark86@example.com,NC,tablet,2025-07-19 09:12:47,product_view,P038,Smart Blue Light Glasses,
STRM1,Alice,2025-07-19 09:00:00,CUST038,alex.hall38@example.com,NC,desktop,2025-07-19 09:12:48,add_to_cart,P031,Classic LED Strip,
STRM1,Alice,2025-07-19 09:00:00,CUST049,avery.allen49@example.com,TX,mobile,2025-07-19 09:12:53,add_to_cart,P050,Deluxe Cap,
STRM1,Alice,2025-07-19 09:00:00,CUST052,avery.davis52@example.com,IL,desktop,2025-07-19 09:13:08,product_view,P016,Eco Smart Thermostat,
STRM1,Alice,2025-07-19 09:00:00,CUST069,avery.davis69@example.com,MI,desktop,2025-07-19 09:13:12,product_view,P031,Classic LED Strip,
